Place,Code,Country,Admin1,Admin2,Admin3,
1,La Unión,51607,Mexico,México,Sultepec,
,   18.846/-99.986,,,,,
2,La Laguna,51610,Mexico,México,Sultepec,
,   18.804/-100.001,,,,,
3,San Miguel Terrero,51610,Mexico,México,Sultepec,
,   18.81/-99.993,,,,,
4,San Isidro Xochitla,51610,Mexico,México,Sultepec,
,   18.793/-100.019,,,,,
5,Sultepequito,51610,Mexico,México,Sultepec,
,   18.809/-99.993,,,,,
6,San Hipólito Zacatales,51613,Mexico,México,Sultepec,
,   18.796/-100.033,,,,,
7,Santa Anita,51613,Mexico,México,Sultepec,
,   18.789/-100.045,,,,,
8,Pepechuca,51613,Mexico,México,Sultepec,
,   18.784/-100.059,,,,,
9,Sultepequito,51613,Mexico,México,Sultepec,
,   18.809/-99.993,,,,,
10,Puerto San José,51613,Mexico,México,Sultepec,
,   18.803/-100.035,,,,,
11,El Rincón del Cristo (Rinconada del Cristo),51614,Mexico,México,Sultepec,
,   18.763/-100.104,,,,,
12,Las Peñas,51614,Mexico,México,Sultepec,
,   18.748/-100.084,,,,,
13,Momostle,51614,Mexico,México,Sultepec,
,   18.79/-100.115,,,,,
14,El Cristo,51614,Mexico,México,Sultepec,
,   18.752/-100.114,,,,,
15,Puerto Frío,51620,Mexico,México,Sultepec,
,   18.765/-99.995,,,,,
16,Troja Vieja,51620,Mexico,México,Sultepec,
,   18.757/-100,,,,,
17,Aserradero Viejo,51620,Mexico,México,Sultepec,
,   18.777/-99.987,,,,,
18,Los Epazotes,51620,Mexico,México,Sultepec,
,   18.797/-99.983,,,,,
19,4 Cruces,51623,Mexico,México,Sultepec,
,   18.75/-100.036,,,,,
20,Puentecillas,51623,Mexico,México,Sultepec,
,   18.745/-100.049,,,,,
21,Las Mesas,51623,Mexico,México,Sultepec,
,   18.755/-100.023,,,,,
22,2da. Manzana 4 Cruces,51624,Mexico,México,Sultepec,
,   18.7/-100.079,,,,,
23,La Virgen,51624,Mexico,México,Sultepec,
,   18.695/-100.07,,,,,
24,Trojes,51624,Mexico,México,Sultepec,
,   18.706/-100.071,,,,,
